repeat;n_train;n_test;d;c;unf_mv_risk;unf_gibbs;unf_disagreement;unf_u_disagreement;unf_tandem_risk;unf_pbkl;unf_c1;unf_c2;unf_ctd;unf_tnd;unf_dis;unf_lamda;unf_gamma;lam_mv_risk;lam_gibbs;lam_disagreement;lam_u_disagreement;lam_tandem_risk;lam_pbkl;lam_c1;lam_c2;lam_ctd;lam_tnd;lam_dis;lam_lamda;lam_gamma;tnd_mv_risk;tnd_gibbs;tnd_disagreement;tnd_u_disagreement;tnd_tandem_risk;tnd_pbkl;tnd_c1;tnd_c2;tnd_ctd;tnd_tnd;tnd_dis;tnd_lamda;tnd_gamma;dis_mv_risk;dis_gibbs;dis_disagreement;dis_u_disagreement;dis_tandem_risk;dis_pbkl;dis_c1;dis_c2;dis_ctd;dis_tnd;dis_dis;dis_lamda;dis_gamma
1;5148;1287;36;6;0.09713;0.16956;0.20142;-1.00000;0.08081;0.40622;-1.00000;-1.00000;1.00000;0.45501;-1.00000;-1.00000;-1.00000;0.12665;0.16956;0.20142;-1.00000;0.08081;0.38351;-1.00000;-1.00000;1.00000;0.51727;-1.00000;0.18425;-1.00000;0.09868;0.16956;0.20142;-1.00000;0.08081;0.39609;-1.00000;-1.00000;1.00000;0.43818;-1.00000;0.28545;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
2;5148;1287;36;6;0.08936;0.16990;0.20181;-1.00000;0.08137;0.40697;-1.00000;-1.00000;1.00000;0.45607;-1.00000;-1.00000;-1.00000;0.16550;0.16990;0.20181;-1.00000;0.08137;0.37774;-1.00000;-1.00000;1.00000;0.72675;-1.00000;0.19749;-1.00000;0.08314;0.16990;0.20181;-1.00000;0.08137;0.39673;-1.00000;-1.00000;1.00000;0.44083;-1.00000;0.28484;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
3;5148;1287;36;6;0.07925;0.17398;0.20713;-1.00000;0.08393;0.41554;-1.00000;-1.00000;1.00000;0.46778;-1.00000;-1.00000;-1.00000;0.16006;0.17398;0.20713;-1.00000;0.08393;0.38542;-1.00000;-1.00000;1.00000;0.60386;-1.00000;0.19024;-1.00000;0.08003;0.17398;0.20713;-1.00000;0.08393;0.40533;-1.00000;-1.00000;1.00000;0.45216;-1.00000;0.28056;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
4;5148;1287;36;6;0.09246;0.17262;0.20574;-1.00000;0.08357;0.41058;-1.00000;-1.00000;1.00000;0.46227;-1.00000;-1.00000;-1.00000;0.16628;0.17262;0.20574;-1.00000;0.08357;0.38803;-1.00000;-1.00000;1.00000;0.59627;-1.00000;0.18658;-1.00000;0.08936;0.17262;0.20574;-1.00000;0.08357;0.40219;-1.00000;-1.00000;1.00000;0.44919;-1.00000;0.27862;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
5;5148;1287;36;6;0.09479;0.16797;0.20163;-1.00000;0.07915;0.40094;-1.00000;-1.00000;1.00000;0.44325;-1.00000;-1.00000;-1.00000;0.16861;0.16797;0.20163;-1.00000;0.07915;0.37253;-1.00000;-1.00000;1.00000;0.78477;-1.00000;0.20221;-1.00000;0.09324;0.16797;0.20163;-1.00000;0.07915;0.39249;-1.00000;-1.00000;1.00000;0.42985;-1.00000;0.28653;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
6;5148;1287;36;6;0.09169;0.17241;0.20629;-1.00000;0.08167;0.40918;-1.00000;-1.00000;1.00000;0.45663;-1.00000;-1.00000;-1.00000;0.11655;0.17241;0.20629;-1.00000;0.08167;0.39243;-1.00000;-1.00000;1.00000;0.48844;-1.00000;0.17660;-1.00000;0.09557;0.17241;0.20629;-1.00000;0.08167;0.40190;-1.00000;-1.00000;1.00000;0.44138;-1.00000;0.28289;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
7;5148;1287;36;6;0.09324;0.17335;0.20706;-1.00000;0.08191;0.41107;-1.00000;-1.00000;1.00000;0.45902;-1.00000;-1.00000;-1.00000;0.11810;0.17335;0.20706;-1.00000;0.08191;0.39425;-1.00000;-1.00000;1.00000;0.51069;-1.00000;0.17744;-1.00000;0.09868;0.17335;0.20706;-1.00000;0.08191;0.40396;-1.00000;-1.00000;1.00000;0.44281;-1.00000;0.28320;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
8;5148;1287;36;6;0.08936;0.17120;0.20558;-1.00000;0.08120;0.40881;-1.00000;-1.00000;1.00000;0.45552;-1.00000;-1.00000;-1.00000;0.11733;0.17120;0.20558;-1.00000;0.08120;0.38957;-1.00000;-1.00000;1.00000;0.48884;-1.00000;0.17833;-1.00000;0.08702;0.17120;0.20558;-1.00000;0.08120;0.39950;-1.00000;-1.00000;1.00000;0.43992;-1.00000;0.28479;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
9;5148;1287;36;6;0.08858;0.17503;0.21111;-1.00000;0.08312;0.41297;-1.00000;-1.00000;1.00000;0.45951;-1.00000;-1.00000;-1.00000;0.09713;0.17503;0.21111;-1.00000;0.08312;0.39879;-1.00000;-1.00000;1.00000;0.50189;-1.00000;0.17326;-1.00000;0.08858;0.17503;0.21111;-1.00000;0.08312;0.40722;-1.00000;-1.00000;1.00000;0.44716;-1.00000;0.27920;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
10;5148;1287;36;6;0.08392;0.17260;0.20657;-1.00000;0.08251;0.41061;-1.00000;-1.00000;1.00000;0.46095;-1.00000;-1.00000;-1.00000;0.17094;0.17260;0.20657;-1.00000;0.08251;0.38394;-1.00000;-1.00000;1.00000;0.78287;-1.00000;0.19706;-1.00000;0.08625;0.17260;0.20657;-1.00000;0.08251;0.40225;-1.00000;-1.00000;1.00000;0.44585;-1.00000;0.28287;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
11;5148;1287;36;6;0.09013;0.17014;0.20241;-1.00000;0.08139;0.41109;-1.00000;-1.00000;1.00000;0.46515;-1.00000;-1.00000;-1.00000;0.18493;0.17014;0.20241;-1.00000;0.08139;0.37387;-1.00000;-1.00000;1.00000;0.67719;-1.00000;0.19913;-1.00000;0.09402;0.17014;0.20241;-1.00000;0.08139;0.39777;-1.00000;-1.00000;1.00000;0.44275;-1.00000;0.28828;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
